model_dir,model_name,num_images,num_crops,num_correct,accuracy,avg_latency_sec,wall_time_sec
lvis_gemini_2_5_flash,gemini-2.5-flash,374,585,263,0.4495726495726496,1.9430056892684662,1136.6583282220527
lvis_gemma_3_12b_it,gemma-3-12b-it,396,624,424,0.6794871794871795,14.394906734726064,8883.730329750979
lvis_gpt_5,gpt-5,396,624,0,0.0,8.7973302301978,5491.089916174009
lvis_llama_3_2_11b_vision_instruct,Llama-3.2-11B-Vision-Instruct,396,624,577,0.9246794871794872,6.155459201149242,3832.1895209090144
lvis_llava_v1_6_mistral_7b_hf,llava-v1.6-mistral-7b-hf,396,624,361,0.5785256410256411,0.18591525172082468,70.90393101901282
lvis_paligemma2_10b_mix_448,paligemma2-10b-mix-448,396,624,0,0.0,0.990245585660187,618.6946524319937
lvis_qwen3_vl_8b_instruct,Qwen3-VL-8B-Instruct,396,624,522,0.8365384615384616,1.4883459910013186,906.9322904519795
